lat,lon,deltaN,topo
-89.500000,-68.500003,77.809328,-1738036.879609
-89.500000,-67.500003,77.660825,-1738085.192742
-89.500000,-66.500003,77.515455,-1738130.614430
-89.500000,-65.500003,77.373360,-1738172.962243
-89.500000,-64.500003,77.234667,-1738212.070045
-89.500000,-63.500003,77.099489,-1738247.788219
-89.500000,-62.500003,76.967926,-1738279.983758
-89.500000,-61.500003,76.840066,-1738308.540218
-89.500000,-60.500003,76.715987,-1738333.357573
-89.500000,-59.500003,76.595752,-1738354.351976
-89.500000,-58.500003,76.479419,-1738371.455442
-89.500000,-57.500003,76.367032,-1738384.615489
-89.500000,-56.500003,76.258630,-1738393.794731
-89.500000,-55.500003,76.154242,-1738398.970460
-89.500000,-54.500003,76.053891,-1738400.134220
-89.500000,-53.500004,75.957594,-1738397.291395
-89.500000,-52.500004,75.865361,-1738390.460807
-89.500000,-51.500004,75.777197,-1738379.674356
-89.500000,-50.500004,75.693104,-1738364.976680
-89.500000,-49.500004,75.613079,-1738346.424856
-89.500000,-48.500004,75.537116,-1738324.088144
-89.500000,-47.500004,75.465205,-1738298.047748
-89.500000,-46.500004,75.397333,-1738268.396616
-89.500000,-45.500004,75.333487,-1738235.239254
-89.500000,-44.500004,75.273649,-1738198.691546
-89.500000,-43.500004,75.217801,-1738158.880574
-89.500000,-42.500004,75.165923,-1738115.944422
-89.500000,-41.500004,75.117993,-1738070.031940
-89.500000,-40.500004,75.073986,-1738021.302475
-89.500000,-39.500004,75.033879,-1737969.925536
-89.500000,-38.500004,74.997646,-1737916.080384
-89.500000,-37.500004,74.965259,-1737859.955545
-89.500000,-36.500004,74.936691,-1737801.748217
-89.500000,-35.500004,74.911911,-1737741.663583
-89.500000,-34.500004,74.890891,-1737679.914002
-89.500000,-33.500004,74.873597,-1737616.718093
-89.500000,-32.500004,74.859999,-1737552.299696
-89.500000,-31.500004,74.850062,-1737486.886728
-89.500000,-30.500004,74.843753,-1737420.709913
-89.500000,-29.500004,74.841034,-1737354.001428
-89.500000,-28.500004,74.841871,-1737286.993442
-89.500000,-27.500004,74.846223,-1737219.916588
-89.500000,-26.500004,74.854053,-1737152.998365
-89.500000,-25.500004,74.865319,-1737086.461500
-89.500000,-24.500004,74.879979,-1737020.522285
-89.500000,-23.500004,74.897988,-1736955.388915
-89.500000,-22.500004,74.919300,-1736891.259838
-89.500000,-21.500004,74.943867,-1736828.322163
-89.500000,-20.500004,74.971636,-1736766.750125
-89.500000,-19.500004,75.002555,-1736706.703650
-89.500000,-18.500004,75.036566,-1736648.327032
-89.500000,-17.500005,75.073610,-1736591.747745
-89.500000,-16.500005,75.113624,-1736537.075422
-89.500000,-15.500005,75.156539,-1736484.401003
-89.500000,-14.500005,75.202284,-1736433.796077
-89.500000,-13.500005,75.250785,-1736385.312436
-89.500000,-12.500005,75.301961,-1736338.981843
-89.500000,-11.500005,75.355727,-1736294.816026
-89.500000,-10.500005,75.411995,-1736252.806901
-89.500000,-9.500005,75.470670,-1736212.927034
-89.500000,-8.500005,75.531655,-1736175.130322
-89.500000,-7.500005,75.594846,-1736139.352907
-89.500000,-6.500005,75.660134,-1736105.514296
-89.500000,-5.500005,75.727409,-1736073.518692
-89.500000,-4.500005,75.796553,-1736043.256507
-89.500000,-3.500005,75.867446,-1736014.606044
-89.500000,-2.500005,75.939965,-1735987.435326
-89.500000,-1.500005,76.013984,-1735961.604055
-89.500000,-0.500005,76.089371,-1735936.965662
-89.500000,0.499995,76.165999,-1735913.369432
