lat,lon,deltaN,topo
-89.5,0.4999999861111111,80.2038524460852,-586.2411345192231
-89.5,1.4999999583333334,80.28152866800814,-560.3270808039233
-89.5,2.4999999305555556,80.36017468970589,-533.9797163722105
-89.5,3.4999999027777777,80.4396563386625,-507.32506515528075
-89.5,4.499999875,80.51983974622192,-480.4855611245148
-89.5,5.499999847222222,80.60059196862721,-453.5792453538161
-89.5,6.499999819444445,80.68178160172721,-426.7190804632846
-89.5,7.499999791666667,80.76327938100711,-400.01237657363527
-89.5,8.499999763888889,80.84495875751044,-373.5603203289211
-89.5,9.49999973611111,80.92669644235748,-347.4575964610558
-89.5,10.499999708333334,81.00837291384889,-321.7920898904558
-89.5,11.499999680555556,81.08987287937717,-296.6446554567665
-89.5,12.499999652777777,81.17108568984433,-272.0889420839958
-89.5,13.499999625000001,81.25190570032865,-248.19125849031843
-89.5,14.499999597222223,81.33223257648092,-225.0104683926329
-89.5,15.499999569444444,81.41197154462493,-202.59790450241417
-89.5,16.499999541666668,81.49103358534772,-180.99729238054715
-89.5,17.499999513888888,81.56933557180534,-160.24467731732875
-89.5,18.49999948611111,81.64680035498883,-140.36834975611418
-89.5,19.499999458333335,81.72335679838552,-121.3887672724668
-89.5,20.499999430555555,81.79893976693278,-103.31847364269197
-89.5,21.499999402777778,81.87349007274752,-86.1620180150494
-89.5,22.499999375,81.94695438468425,-69.91587949241512
-89.5,23.49999934722222,82.01928510596926,-54.56840450805612
-89.5,24.499999319444445,82.09044022475071,-40.09976608119905
-89.5,25.49999929166667,82.16038314492624,-26.481955407653004
-89.5,26.49999926388889,82.22908250016565,-13.678817106410861
-89.5,27.499999236111112,82.29651195876046,-1.6461398813407868
-89.5,28.499999208333335,82.3626500221158,9.668185727670789
-89.5,29.499999180555555,82.42747982214127,20.323931383201852
-89.5,30.49999915277778,82.49098892136301,30.388206696137786
-89.5,31.499999125000002,82.5531691178088,39.93503806833178
-89.5,32.49999909722222,82.61401625909599,49.04484387137927
-89.5,33.49999906944444,82.67353006509671,57.80380141153
-89.5,34.49999904166667,82.73171396235101,66.30310355639085
-89.5,35.49999901388889,82.78857492887562,74.63810555683449
-89.5,36.49999898611111,82.84412335125347,82.90736531629227
-89.5,37.499998958333336,82.89837289066706,91.21158313588239
-89.5,38.499998930555556,82.95134035830998,99.65244965231977
-89.5,39.499998902777776,83.00304559847235,108.3314132578671
-89.5,40.499998875,83.05351137573233,117.34838064480573
-89.5,41.49999884722222,83.10276326480081,126.80036621796899
-89.5,42.49999881944444,83.15082954065535,136.78010786371306
-89.5,43.49999879166667,83.19774106554863,147.3746680014301
-89.5,44.49999876388889,83.24353117074111,158.66403981600888
-89.5,45.49999873611111,83.28823552962709,170.71977919898927
-89.5,46.49999870833334,83.33189202152671,183.60368309589103
-89.5,47.49999868055556,83.37454058151391,197.36653471412137
-89.5,48.499998652777776,83.41622303759726,212.04693543701433
-89.5,49.499998625,83.45698293063994,227.67024228093214
-89.5,50.49999859722222,83.4968653195987,244.24762840289623
-89.5,51.49999856944444,83.5359165688364,261.7752825310454
-89.5,52.49999854166667,83.57418411940999,280.23376131942496
-89.5,53.49999851388889,83.6117162448787,299.5875065452419
-89.5,54.49999848611111,83.6485617923417,319.7845368331764
-89.5,55.49999845833334,83.68476991184467,340.75632126280107
-89.5,56.49999843055556,83.72038977511542,362.4178398260847
-89.5,57.49999840277778,83.75547028753896,384.6678333017044
-89.5,58.499998375000004,83.79005979663796,407.3892427610699
-89.5,59.499998347222224,83.8242058004163,430.44983660033904
-89.5,60.499998319444444,83.8579546597781,453.70302080805413
-89.5,61.49999829166667,83.89135131963161,476.9888260671869
-89.5,62.49999826388889,83.9244390420487,500.1350633674301
-89.5,63.49999823611111,83.95725915682438,522.9586379597895
-89.5,64.49999820833334,83.98985083407774,545.2670098610688
-89.5,65.49999818055556,84.02225088120981,566.859787595924
-89.5,66.49999815277778,84.05449357121758,587.5304405246861
-89.5,67.49999812499999,84.08661050238203,607.0681138993241
-89.5,68.49999809722223,84.11863049644955,625.2595297286753
-89.5,69.49999806944444,84.15057953505821,641.8909556255676
-89.5,70.49999804166666,84.18248073777758,656.7502230026294
-89.5,71.4999980138889,84.21435438391443,669.6287753421348
-89.5,72.49999798611111,84.2462179784678,680.3237267180812
-89.5,73.49999795833332,84.27808636227775,688.6399103659205
-89.5,74.49999793055557,84.3099718675733,694.3918968273792
-89.5,75.49999790277778,84.34188451520961,697.4059610778932
-89.5,76.49999787499999,84.37383225490008,697.5219781070482
-89.5,77.49999784722223,84.40582124380387,694.5952266238164
-89.5,78.49999781944445,84.43785616081082,688.4980809844565
-89.5,79.49999779166666,84.46994055384768,679.1215720514301
-89.5,80.4999977638889,84.50207721461366,666.3767985508312
-89.5,81.49999773611111,84.53426857598264,650.1961715719663
-89.5,82.49999770833332,84.56651712750708,630.534476217581
-89.5,83.49999768055557,84.59882584204549,607.3697360018268
-89.5,84.49999765277778,84.63119860868498,580.7038674938958
-89.5,85.49999762499999,84.66364066334081,550.5631148279645
-89.5,86.49999759722223,84.69615901273119,516.9982561033685
-89.5,87.49999756944445,84.72876284257684,480.0845763294492
-89.5,88.49999754166666,84.76146390458436,439.9216043818742
-89.5,89.4999975138889,84.79427687451332,396.63261445821263
-89.5,90.49999748611111,84.82721967472527,350.3638956209179
-89.5,91.49999745833333,84.8603137543541,301.2837962033227
-89.5,92.49999743055557,84.89358432148792,249.58155305869877
-89.5,93.49999740277778,84.92706052038034,195.46591875934973
-89.5,94.49999737499999,84.96077554990006,139.16360286343843
-89.5,95.49999734722223,84.99476671703862,80.91754618752748
