lon_deg,lat_deg,pixel_x,pixel_y
-38.9928923808192,-40.65648635754739,712.5947580645162,572.8550907258065
-39.44222947895918,-42.73569615972166,713.7177419354839,581.8389616935484
-39.85301444116061,-44.5765301881697,714.8407258064517,589.6998487903227
-41.053524238677625,-46.43931582745131,713.7177419354839,597.5607358870968
-42.3601931831555,-48.32604892978558,712.5947580645162,605.421622983871
-43.25243288813152,-49.96400730292505,712.5947580645162,612.1595262096774
-44.83490041633755,-51.34481755489539,710.3487903225807,617.7744455645161
-47.30436745175368,-52.74112249541966,705.8568548387098,623.3893649193549
-48.7135000846493,-54.15406013366395,704.733870967742,629.0042842741935
-50.469896421821744,-55.87333672050979,703.6108870967743,635.7421875
-50.44932232371937,-57.327549492244934,706.9798387096774,641.3571068548388
-49.78437541170183,-58.506151836622834,711.4717741935484,645.8490423387098
-48.9717521676568,-59.999999999999986,717.0866935483872,651.4639616935483
-48.04305003696106,-60.908091867032134,721.5786290322582,654.8329133064516
-46.350682798508274,-61.51870281458509,727.1935483870968,657.0788810483871
-44.92164114681688,-62.442849948399946,732.8084677419356,660.4478326612902
-43.16381200499984,-63.064691634368245,738.4233870967743,662.6938004032259
-40.889860976045696,-63.69134911598418,745.1612903225807,664.9397681451612
-39.148076650154735,-64.95994402901091,751.8991935483872,669.4317036290322
-37.66810870240474,-66.57675479962398,758.6370967741937,675.046622983871
-36.22998779928611,-67.23399577903722,763.1290322580646,677.2925907258065
-35.41963973675615,-68.5682050141573,767.6209677419356,681.7845262096774
-34.05448095646622,-69.9311427832742,773.2358870967741,686.2764616935483
-32.27653405437951,-70.97424094799545,778.8508064516129,689.6454133064516
-32.46163222368071,-72.7577474764294,782.2197580645161,695.2603326612902
-31.53104612794968,-74.60651784324752,787.8346774193549,700.875252016129
-31.42775173002724,-76.53447590847273,792.3266129032259,706.4901713709677
-33.27650854101219,-78.98180222104513,795.695564516129,713.2280745967741
-37.47795434959875,-81.17247396609193,796.8185483870968,718.8429939516129
-44.9899078959898,-84.08296360734397,800.1875,725.5808971774193
-60.22318753709618,-86.95986149180852,805.8024193548388,731.195816532258
