lon_deg,lat_deg,pixel_x,pixel_y
179.78399026927053,-20.241225911390735,1515.5282258064517,479.6474294354839
177.82042302297475,-20.002851192713614,1508.7903225806454,478.52444556451616
176.1925859452232,-20.241225911390735,1502.0524193548388,479.6474294354839
174.097600089529,-20.241225911390735,1494.1915322580646,479.6474294354839
173.40397035395563,-20.9571942289804,1489.6995967741937,483.01638104838713
172.60252893116296,-21.913861518397844,1484.0846774193549,487.5083165322581
172.32086027377983,-23.113159047704478,1479.592741935484,493.1232358870968
171.48080123740795,-24.316545494164558,1472.8548387096776,498.73815524193554
170.26441829301564,-25.0406506848143,1466.116935483871,502.1071068548388
169.88920698867798,-26.008666218537883,1461.625,506.5990423387097
168.3946769283748,-26.73666356864176,1453.7641129032259,509.9679939516129
167.4494181411378,-27.71009392600181,1447.0262096774195,514.4599294354839
166.530675958222,-28.68682799169028,1440.288306451613,518.9518649193549
165.6389260121823,-29.66702497561859,1433.5504032258066,523.4438004032259
164.7747186955787,-30.65085005036195,1426.8125,527.9357358870968
163.89336981184834,-31.88599546723299,1418.9516129032259,533.5506552419355
162.8115011697667,-32.63007779317161,1412.2137096774195,536.9196068548388
161.7094894834462,-33.62584499613502,1404.3528225806454,541.4115423387098
160.3326818807269,-34.37551960571079,1396.491935483871,544.7804939516129
159.27182328886192,-35.379046465540135,1388.6310483870968,549.2724294354839
158.5668882394873,-36.387292778466524,1381.8931451612905,553.7643649193549
157.56310690167487,-37.40047848368534,1374.0322580645163,558.2563004032259
156.92280383739734,-38.41883445684708,1367.2943548387098,562.7482358870968
155.60711662560465,-38.93002666739119,1360.5564516129034,564.9942036290322
155.35128929202472,-39.956597249420255,1354.9415322580646,569.4861391129032
154.41937890750546,-40.730317761626246,1348.203629032258,572.8550907258065
154.23556679440924,-41.76722286085458,1342.5887096774195,577.3470262096774
153.7517335752741,-42.810425967379786,1335.850806451613,581.8389616935484
152.89024609444698,-43.59714527009544,1329.1129032258066,585.2079133064517
152.04599528008055,-44.38771586743048,1322.375,588.5768649193549
151.66596028012918,-45.448048960639035,1315.6370967741937,593.0688004032259
150.50929594854563,-46.248173993659954,1307.7762096774195,596.437752016129
149.8434787265375,-47.32181224341942,1299.9153225806454,600.9296875
149.5969850797531,-48.403598653953175,1293.1774193548388,605.421622983871
148.88950212235676,-49.22054483188311,1286.4395161290324,608.7905745967741
148.2069685746755,-50.04251172076456,1279.7016129032259,612.1595262096774
