lon_deg,lat_deg,pixel_x,pixel_y
-179.57592010803768,67.186839509789,455.4314516129033,88.84904233870986
-175.9126311466331,67.186839509789,463.29233870967744,88.84904233870986
-174.84706368496543,67.51762975162936,468.9072580645162,87.72605846774206
-173.24964647696078,67.85007064094675,475.6451612903227,86.60307459677438
-170.05259676165656,67.85007064094675,482.38306451612914,86.60307459677438
-167.38838866556975,67.85007064094675,487.9979838709678,86.60307459677438
-167.8563799397394,68.52007846818293,493.61290322580646,84.35710685483889
-165.14151242685082,68.52007846818293,499.22782258064524,84.35710685483889
-161.8836714113845,68.52007846818293,505.9657258064517,84.35710685483889
-158.62583039591823,68.52007846818293,512.7036290322582,84.35710685483889
-155.91096288302967,68.52007846818293,518.3185483870968,84.35710685483889
-153.1960953701411,68.52007846818293,523.9334677419355,84.35710685483889
-149.05475564504104,68.18420521287808,529.5483870967743,85.48009072580669
-146.36562345556865,68.18420521287808,535.1633064516129,85.48009072580669
-144.21431770399076,68.18420521287808,539.6552419354839,85.48009072580669
-141.5251855145183,68.18420521287808,545.2701612903227,85.48009072580669
-138.83605332504595,68.18420521287808,550.8850806451613,85.48009072580669
-137.44986379538736,68.52007846818293,556.5,84.35710685483889
-134.73499628249874,68.52007846818293,562.1149193548388,84.35710685483889
-131.47715526703243,68.52007846818293,568.8528225806452,84.35710685483889
-129.47511808832732,68.85773750713372,575.5907258064517,83.2341229838712
-126.73366065753999,68.85773750713372,581.2056451612904,83.2341229838712
-123.99220322675264,68.85773750713372,586.8205645161291,83.2341229838712
-120.54995443663366,68.18420521287808,589.0665322580646,85.48009072580669
-115.86264533872787,66.20396928899183,585.6975806451613,92.21799395161304
-116.0052387441094,65.5562646848899,581.2056451612904,94.46396169354853
-115.30959276484141,64.59533638823966,576.7137096774194,97.83291330645181
-110.96834620779696,62.70877637678035,575.5907258064517,104.57081653225828
-108.11929277325027,62.08960005141891,578.9596774193549,106.81678427419376
-105.80055794049056,62.08960005141891,584.5745967741937,106.81678427419376
-103.27788872850827,61.78171842429528,589.0665322580646,107.93976814516145
-101.89558429045944,61.78171842429528,592.4354838709678,107.93976814516145
-98.96269244938719,61.47494509944855,598.0504032258065,109.06275201612925
-97.13126126063446,61.47494509944855,602.5423387096774,109.06275201612925
-96.52561860945197,62.08960005141891,607.0342741935484,106.81678427419376
-94.06252580818251,61.78171842429528,611.5262096774194,107.93976814516145
-90.41649898534499,60.561066478679244,614.8951612903227,112.43170362903243
-87.85345280749141,59.05824770282082,614.8951612903227,118.04662298387109
-87.29946422703841,58.16796600491086,612.6491935483872,121.41557459677438
-85.52512029017456,56.99334509449415,612.6491935483872,125.90751008064535
-81.84721053947676,55.543756646343496,617.1411290322582,131.522429435484
-78.30411322640742,54.683352532047415,623.8790322580646,134.8913810483873
-75.20643270980644,54.113448435787,630.616935483871,137.1373487903228
