lon_deg,lat_deg,pixel_x,pixel_y
-73.79174768867188,57.36940270220094,645.2157258064517,124.78452620967755
-74.36926668722187,56.49407597355117,640.7237903225807,128.15347782258084
-74.6808260692056,55.05126826167359,635.108870967742,133.7683971774195
-75.05357741425672,53.627235819636155,629.4939516129033,139.38331653225828
-74.79261572573016,51.94127303189504,625.0020161290323,146.12121975806463
-75.29004043597688,50.5539540292109,619.3870967741937,151.7361391129034
-76.09367558162965,49.454871410544314,613.7721774193549,156.22807459677438
-77.02455928824163,48.093660730029946,607.0342741935484,161.84299395161304
-77.97781860066951,46.74566189197317,600.296370967742,167.45791330645181
-78.59317004155292,45.41005366224912,594.6814516129033,173.07283266129048
-79.23816046595056,44.08608304733957,589.0665322580646,178.68775201612914
-80.47339440305724,43.03481799440451,582.3286290322582,183.1796875000001
-80.81243611928211,41.73008385783179,577.8366935483872,188.7946068548389
-81.52595068860907,40.43517501868367,572.2217741935484,194.40952620967755
-82.26293135545859,39.149531030121,566.6068548387098,200.02444556451633
-83.02224883502433,37.8726291804532,560.991935483871,205.639364919355
-83.63251330283785,36.351200266601396,555.3770161290323,212.37726814516145
-84.12081035945933,34.59017443749442,549.7620967741937,220.2381552419356
-84.66353497262247,32.843099433589835,544.1471774193549,228.09904233870986
-85.12037865095438,30.862158082250705,538.5322580645162,237.0829133064517
-85.14617564755375,29.14147891023148,535.1633064516129,244.94380040322596
-84.18618132007376,27.188212428140833,535.1633064516129,253.92767137096791
-83.21712809835873,25.00613305955209,535.1633064516129,264.03452620967755
-82.35577272783351,22.83868284683553,535.1633064516129,274.1413810483872
-81.37346575822438,20.92307127591897,536.2862903225807,283.12525201612914
-79.8730842078999,19.01674203764581,539.6552419354839,292.1091229838711
-78.81155591189179,17.355544816798034,541.9012096774194,299.97001008064524
-78.10026774047941,15.700072320624368,543.0241935483872,307.8308971774195
-77.73182811611143,14.049718936416554,543.0241935483872,315.69178427419365
-76.53241330146892,12.403899554058498,546.3931451612904,323.5526713709678
-74.54612211047986,10.996375422849171,553.1310483870968,330.29057459677426
